hours; total             ; analyzed         ; missing          ; relation_number ; proportion         ; rep               ; row_number ; weight_sum        ; relation_number 
49.25;98332839.97;23085086.67;26155267.95;1378;0.234764771;0.468824541;269226;98332839.97;44529
49.5;99028105.14;23267330.27;26450862.98;1382;0.234956836;0.467984228;269486;99028325.16;44554
49.75;99606665.94;23416870.51;26644631.83;1384;0.235093408;0.467762041;269818;99607024.94;44588
50;100227466.3;23589221.28;26628217.75;1386;0.235356855;0.469741622;270893;100227526.9;44645
50.25;100806707.4;23723823.36;26613120.05;1390;0.235339731;0.471300436;271541;100806707.4;44728
50.5;101436319.8;23875991.06;26490018.02;1392;0.235379114;0.474049691;272224;101437809.7;44788
50.75;101961886.5;24023815.87;26623907.65;1394;0.235615647;0.474331603;272435;101962001.6;44810
51;102681264.9;23988685.85;26979153.22;1401;0.233622812;0.470663193;273006;102681265;44877
51.25;103269330.6;24120131.43;27186615.29;1405;0.233565293;0.470116173;273351;103269330.6;44911
51.5;103900321;24247912.22;27137679.67;1407;0.233376682;0.47188154;273705;103901635.4;44943
51.75;104559345.8;24426933.69;27336279.24;1414;0.233617889;0.471897556;274356;104559345.9;45020
52;105241962.5;24613974.88;27497796.5;1418;0.233879855;0.47233042;275380;105241962.9;45078
52.25;105912063;25002170.94;27771628.05;1435;0.236065376;0.47376106;278554;105917323.6;45252
52.5;106530794;24942816.79;27825611.45;1435;0.234137153;0.472684475;278845;106532271.7;45277
52.75;107180547.5;25106400.01;28128085.19;1436;0.234243998;0.4716191;279458;107186498.4;45331
53;107804339.9;25265535.35;28432401.39;1442;0.234364733;0.470512219;280657;107810340.9;45403
53.25;108391763;25415721.38;28358967.85;1446;0.234480192;0.472633533;281312;108391763;45428
53.5;108936878;25530650.84;28373716.87;1447;0.234361874;0.473628612;281682;108937744.7;45461
53.75;109624401.6;25708891.78;28633485.8;1453;0.234517967;0.473091037;282579;109625882.2;45532
54;110181719.4;25853268.44;28854620.05;1457;0.234642086;0.472569298;283106;110181719.4;45597
54.25;110816720.2;26010874.51;29156111.28;1462;0.234719765;0.471493487;283981;110822963.9;45659
54.5;111469748;26175021.92;29259506.6;1464;0.23481727;0.47217903;284535;111469748;45705
54.75;112004062.8;26308680.35;29358383.79;1466;0.234890411;0.47260765;284886;112010062;45737
55;112684500.5;26464596.57;29656840.68;1471;0.234855694;0.471559494;285184;112684758.2;45764
55.25;113374963.2;26646432.72;29772599.22;1473;0.235029251;0.472295107;285727;113375128.4;45783
55.5;113880978.3;26744695.6;29803487.06;1478;0.234847786;0.472954114;286281;113881209;45832
55.75;114534329.2;26892182.68;30048389.6;1483;0.234795828;0.472285079;286914;114540571.9;45878
56;115164182.8;27049009.97;30221944.31;1485;0.234873459;0.472298922;287284;115164999.9;45922
56.25;115822749;27178774.33;30375805.47;1488;0.234658343;0.472226093;287639;115823073.7;45976
56.5;116436410.9;27309952.04;30512969.27;1491;0.234548213;0.472303222;288332;116436876.7;46057
56.75;117145069;27523348.71;30643383.48;1493;0.23495098;0.473180247;288829;117145069.3;46108
57;117769614.9;27635917.67;30556486.64;1498;0.234660848;0.474905926;289502;117769614.9;46169
57.25;118417387.7;27775082.01;30655430.34;1503;0.234552396;0.475352361;289892;118417387.7;46201
57.5;119080049.4;27919786.11;30769071.7;1508;0.234462332;0.475725498;290727;119080339;46233
57.75;119686057.4;28059835.54;30904871.62;1511;0.234445316;0.475875094;291137;119686153.2;46250
58;120341328.8;28170774.26;31291835.94;1515;0.234090603;0.473756099;291384;120348011.1;46266
58.25;120998692.4;28340709.08;31049826.03;1517;0.234223267;0.477192351;291696;121000761.8;46290
58.5;121645141.8;28513417.53;31174198.83;1518;0.234398325;0.477710776;292082;121646210.9;46327
58.75;122195189.4;28640066.32;31398282.27;1520;0.234379655;0.477029548;292374;122195189.4;46336
59;122773722.7;28801587.13;31443967.75;1526;0.234590811;0.478069912;292734;122773722.7;46367
59.25;123339491.8;28920633.83;31480533.1;1528;0.234479917;0.47880919;293087;123339504;46398
59.5;123903646.7;29514016.11;32023221.54;1531;0.238201352;0.4796123;293546;123903646.7;46420
59.75;124569195.4;29683189.48;32084111.4;1535;0.238286756;0.480564782;293873;124571428.3;46436
60;125155412.1;29369462.72;31885605.64;1538;0.234663945;0.479461757;294259;125155412.1;46472
60.25;125710269.2;29943154.98;32214134.59;1540;0.238191797;0.481731993;294716;125711025.4;46510
60.5;126340316;30112913.43;32185201.21;1544;0.238347619;0.483367974;295153;126340332.5;46548
60.75;126892554;30210792.44;32313886.28;1547;0.23808168;0.48318189;295516;126892554;46587
61;127441142.9;30359409.8;32551847.27;1548;0.238222988;0.482575158;295756;127441143.1;46611
61.25;128027210.7;30510756.48;32619551.62;1548;0.238314623;0.483298077;296116;128027435.6;46628
61.5;128566903.3;30792287.2;31084885.32;1550;0.239503997;0.497635654;296485;128566903.3;46647
61.75;129208516.8;30677978.99;30997605.82;1556;0.237430007;0.497408806;296839;129208516.8;46691
62;129826006.6;30835852.38;31119968.83;1559;0.237516759;0.497707104;297268;129833044.5;46723
62.25;130310342.6;30929347.21;31279664.42;1560;0.237351438;0.497184353;297563;130311000.4;46747
62.5;130874795.7;31081465.18;30880915.39;1561;0.237490076;0.501618319;298249;130874795.7;46813
62.75;131471178.3;31248653.12;31312123.73;1561;0.237684438;0.499492728;298836;131471305.6;46833
63;132036999.7;31374426.16;31279513.62;1561;0.237618442;0.500757435;299133;132037114.3;46854
63.25;132611684;31532377.89;31474945.09;1563;0.237779786;0.500455763;299540;132611684.2;46889
63.5;133175298.8;31676198.29;31476167.08;1565;0.237853405;0.501583719;299977;133175298.9;46955
63.75;133726417.6;31792855.31;31737675.84;1565;0.23774551;0.500434275;300335;133726596.5;46979
64;134278667;31941961.39;31752574.63;1565;0.237878154;0.50148668;300683;134278667;47008
64.25;134802201;32062427.73;31800921.38;1568;0.237847954;0.50204739;300945;134808256.5;47041
64.5;135344838.3;32184543.51;31810897.7;1572;0.237796608;0.502919316;301620;135344838.3;47079
64.75;135848964.7;32331596.27;32044010.43;1577;0.237996634;0.502233655;301893;135850468.4;47106
65;136251702.3;32430955.6;32169554.38;1580;0.238022388;0.502023213;302061;136261106.9;47115
65.25;136600568.5;32485853.41;32163909.73;1580;0.237816385;0.502489906;302197;136601001.4;47127
65.5;136821258.9;32558831.61;32066350.97;1580;0.237966175;0.503810284;302390;136822077.6;47142
65.75;136890592.3;32579254.01;32085039.39;1580;0.237994836;0.503821387;302475;136890592.3;47159
66;136953830.3;32595328.45;32061866.34;1582;0.238002313;0.504125311;302488;136953830.3;47159
66.25;137011466.4;32610073.03;32102933.44;1582;0.23800981;0.503918375;302489;137011466.4;47159
66.5;137105274.7;32638038.71;32561794.12;1583;0.238050934;0.500584699;302590;137105274.7;47168
66.75;137319066.6;32696495.28;32650571.86;1586;0.238106012;0.500351381;302813;137319066.6;47178
